web-scraper-order,web-scraper-start-url,name10
"1609248476-20","https://sh.meituan.com/meishi/pn9/","加洲印象海鲜"
"1609248478-36","https://sh.meituan.com/meishi/pn8/","无限量自助烤肉火锅（叶榭店）"
"1609248478-37","https://sh.meituan.com/meishi/pn8/","晋小馆"
"1609248486-105","https://sh.meituan.com/meishi/pn4/","汉贝村炭火烤肉（环城西路店）"
"1609248492-141","https://sh.meituan.com/meishi/pn1/","汉贝村烤肉（轿行路店）"
"1609248488-113","https://sh.meituan.com/meishi/pn3/","洪太极涮肉羊蝎子火锅（普陀店）"
"1609248486-100","https://sh.meituan.com/meishi/pn4/","江越·绍东家（世茂人广店）"
"1609248480-56","https://sh.meituan.com/meishi/pn7/","江南村酒家"
"1609248490-129","https://sh.meituan.com/meishi/pn2/","肥仔文澳门猪骨煲（南京西路店）"
"1609248484-78","https://sh.meituan.com/meishi/pn5/","荣新馆（金汇四季3号店）"
"1609248488-114","https://sh.meituan.com/meishi/pn3/","壹泰东南亚主题餐厅（soho复兴广场店）"
"1609248480-50","https://sh.meituan.com/meishi/pn7/","家在塔啦·蒙古包餐厅"
"1609248476-22","https://sh.meituan.com/meishi/pn9/","卿古炭火烤肉（吾悦广场店）"
"1609248492-143","https://sh.meituan.com/meishi/pn1/","圣火营自助烤肉（松江路店）"
"1609248486-97","https://sh.meituan.com/meishi/pn4/","70后·绍东家（汉口路店）"
"1609248480-46","https://sh.meituan.com/meishi/pn7/","付小姐在成都（打浦桥店）"
"1609248480-47","https://sh.meituan.com/meishi/pn7/","北极岛自助烤肉（金平路旗舰店）"
"1609248484-76","https://sh.meituan.com/meishi/pn5/","潘小烧·云南烧烤（外滩旗舰店）"
"1609248484-77","https://sh.meituan.com/meishi/pn5/","蛙来哒（人广来福士店）"
"1609248488-111","https://sh.meituan.com/meishi/pn3/","肥仔文澳门猪骨煲（南京西路店）"
"1609248484-82","https://sh.meituan.com/meishi/pn5/","蜀大侠火锅（曲阳店）"
"1609248478-34","https://sh.meituan.com/meishi/pn8/","索菲特海仑宾馆·莫赛克餐厅"
"1609248475-10","https://sh.meituan.com/meishi/pn10/","蟹家大院（外滩店）"
"1609248490-134","https://sh.meituan.com/meishi/pn2/","妙滴奶茶汉堡（头桥店）"
"1609248475-3","https://sh.meituan.com/meishi/pn10/","美豪酒店中餐厅"
"1609248476-26","https://sh.meituan.com/meishi/pn9/","西贝莜面村（金桥店）"
"1609248482-69","https://sh.meituan.com/meishi/pn6/","年凯大酒店"
"1609248488-118","https://sh.meituan.com/meishi/pn3/","蟹黄鱼（新天地店）"
"1609248490-130","https://sh.meituan.com/meishi/pn2/","洪太极涮肉羊蝎子火锅（普陀店）"
"1609248490-121","https://sh.meituan.com/meishi/pn2/","上海金桥红枫万豪酒店·万豪中餐厅"
"1609248486-99","https://sh.meituan.com/meishi/pn4/","渔水之家柴火菜饭"
"1609248484-87","https://sh.meituan.com/meishi/pn5/","尚海派（云山路店）"
"1609248484-86","https://sh.meituan.com/meishi/pn5/","阪尚皇创意自助餐厅 烤肉•火锅（曹路宝龙广场店）"
"1609248486-95","https://sh.meituan.com/meishi/pn4/","桃山日本料理铁板烧"
"1609248480-54","https://sh.meituan.com/meishi/pn7/","霄张花甲（城中街店）"
"1609248475-11","https://sh.meituan.com/meishi/pn10/","星伦多海鲜自助餐厅（江桥万达店）"
"1609248476-30","https://sh.meituan.com/meishi/pn9/","稻香（环贸iapm商场店）"
"1609248478-42","https://sh.meituan.com/meishi/pn8/","湘芙楼湘菜馆"
"1609248482-65","https://sh.meituan.com/meishi/pn6/","重庆牧羊传奇火锅（崇明八一路店）"
