user_id,m_date,m_time
5a42dc7d4d3ae352a5708529048cad8b,20191226,1577307520
5a45dcda43d74e96706a3bc92283284a,20191226,1577300865
5a4e217474b8b6b1df485267c3df1f51,20191226,1577319029
5a5b16df1a96277ce23bde67b9098ab4,20191226,1577319194
5a5e2d49dfb6d1c50e8eddf88ee94bd8,20191226,1577324507
5a5e9282470628062f520663ea1dd6b8,20191226,1577290912
5a634a34706d33669ed4820addf87784,20191226,1577304167
5a673abefcceb83964ae8756b4e35854,20191226,1577310451
5a673abefcceb83964ae8756b4e35854,20191226,1577318712
5a675b23646ac7cbd7192cc4017e0880,20191226,1577323827
5a690ff56f1a3d66dc9780f13ed28646,20191226,1577317967
5a697a7982cba1b428d2255b07c4c425,20191226,1577297127
5a697a7982cba1b428d2255b07c4c425,20191226,1577312367
5a6cccb388a7b1b74665d8877c3b6445,20191226,1577290225
5a6cccb388a7b1b74665d8877c3b6445,20191226,1577318426
5a6db76c7592b1f469c263d8051c1e4d,20191226,1577294963
5a6db76c7592b1f469c263d8051c1e4d,20191226,1577318790
5a77c3551944132bd6501fac5f2eb266,20191226,1577298163
5a7ce97785a306214c1eaf0fa9b75db9,20191226,1577320566
5a8bda2aecbbd06df0a7ba81fb6045bd,20191226,1577307407
5a8bda2aecbbd06df0a7ba81fb6045bd,20191226,1577307479
5a91644f3a8deae7ab3b62d72959b296,20191226,1577300612
5a9995410eb792ae4349813e3b8fb67a,20191226,1577317277
5a9995410eb792ae4349813e3b8fb67a,20191226,1577321138
5a9995410eb792ae4349813e3b8fb67a,20191226,1577325174
5aacad859999672fda5a996f98c2ebc8,20191226,1577302670
5aae65a83e56fdb7ac270cfb0cbfa220,20191226,1577303388
5aae65a83e56fdb7ac270cfb0cbfa220,20191226,1577320410
5ab5e440583fa683198aa89d251a4689,20191226,1577323269
5ab5e440583fa683198aa89d251a4689,20191226,1577324163
5abb93049fa69c4bc2d40af581b5f0f8,20191226,1577309173
5abbec818f06400a696879874f53a869,20191226,1577302509
5abef3606de475aad1a68ca29b93dd0e,20191226,1577299200
5ac69ad2dac31e1d1eb68ec3b208d496,20191226,1577345369
5ac8e4d8cd311723c0104efb19bf8995,20191226,1577309798
5ac8e4d8cd311723c0104efb19bf8995,20191226,1577311333
5ac8e4d8cd311723c0104efb19bf8995,20191226,1577315958
5af31b15565eae95c1abcfe40f921a75,20191226,1577295000
5af640bf7c143ef71e9ead98ccbb2a5e,20191226,1577321111
5afdeb1246d68b30371f581a30db69ae,20191226,1577298056
5b224a4a3d39c573cf46b8ef378b544b,20191226,1577319702
5b22a7b367fc878dd44c0e3fba8bbfd8,20191226,1577299181
5b32e13f8acb954a6150d7f0af31b2a9,20191226,1577289960
5b4115aa79600ba77f44b582cbb44c58,20191226,1577314688
5b494602f29933a96ec31d9f512ded47,20191226,1577319912
5b4c3b921016478465bd8ea538564118,20191226,1577309747
5b5133ea594417bcd39f90858cada7e8,20191226,1577327154
5b52e3fff56845bcf42ba3d83a0e962c,20191226,1577308112
5b548c91c5f0895ff46c6068e11de0fb,20191226,1577305680
5b548c91c5f0895ff46c6068e11de0fb,20191226,1577318712
5b57d848f4b55590107ca2523313fbf0,20191226,1577308614
5b57d848f4b55590107ca2523313fbf0,20191226,1577315078
5b6053eab7339994323a98dded3a9b28,20191226,1577289803
5b677a9ef9f11f8be73c527696c3ae19,20191226,1577307879
5b74d606539476e96e68fd0a972752c1,20191226,1577317883
5b76aeac012f0074009497dcf04cfa02,20191226,1577312426
5b952f2b0bfc953a6c3f93f610a737ee,20191226,1577293577
5b952f2b0bfc953a6c3f93f610a737ee,20191226,1577315383
5b96e446e4647cb266580bad6daf66f9,20191226,1577295609
5b9d4ad3f12c8f1d9228234751bb3332,20191226,1577332677
5b9f2ff1dd4c70d85ca88b15bc83bc51,20191226,1577315922
5b9f2ff1dd4c70d85ca88b15bc83bc51,20191226,1577321211
5ba10715d84b2d9d4c594373dc0e8a45,20191226,1577320796
5ba75e3b51e99a78b3e8c200155f307f,20191226,1577329979
5ba75e3b51e99a78b3e8c200155f307f,20191226,1577345406
5bb0091605509f002ceb290ad3d86c13,20191226,1577303477
5bb0091605509f002ceb290ad3d86c13,20191226,1577322246
5bb0091605509f002ceb290ad3d86c13,20191226,1577324894
5bb11a81ba7148ff4bc9533857f0b35c,20191226,1577320947
5bc44238ee3ded211f821756accdeb3a,20191226,1577291577
5bcac38872dccb9089d31817a0866911,20191226,1577313932
5bcac38872dccb9089d31817a0866911,20191226,1577324539
5bd367cf93469f1580ba62cc5e3d72d4,20191226,1577299136
5bd593d819642425a0d89a845de8888e,20191226,1577302978
5bdc5f95be2b915cff5750a73897ca1e,20191226,1577299982
5be466e60e7132360a61f259d8684332,20191226,1577318384
5be656eb5b8e7ea76554fdbee02c349c,20191226,1577315013
5be66fe46df90fb14612538473fa620f,20191226,1577312845
5beefee762ed4ba5ff1593fd6a7c62c6,20191226,1577314887
5beefee762ed4ba5ff1593fd6a7c62c6,20191226,1577319263
5bf3f066951df158b14a2012eab26e80,20191226,1577290971
5bf58db46aae012178b6f1132ac3d953,20191226,1577295443
5bf60eaf306d49190393e343cb63264d,20191226,1577297131
5bf60eaf306d49190393e343cb63264d,20191226,1577311770
5bfeaaa127f3998e8d87c2f6d2ced65f,20191226,1577291443
5c04bac14c8d418f1af5b8e0f7d30ca9,20191226,1577320480
5c0a1d1fc710bba620aec435b7203286,20191226,1577290644
5c0a1d1fc710bba620aec435b7203286,20191226,1577298806
5c0acdac896daab8b1aebbad97e00a22,20191226,1577301533
5c0d0a6fc16979f2b6ea3a60367c5041,20191226,1577316483
