user_id,m_date,m_time,m_function,m_sid,m_use_time,is_success
f6d62556f3c0df259ac28f50b1356a7f,20191224,1577142310,function_B,null,28,1
f6d62556f3c0df259ac28f50b1356a7f,20191225,1577246294,function_C,null,31,1
f6dc1f30b0ab79bb2bbc628e86f14dba,20191225,1577237859,uninstall,null,,1
f6eeef5063d001b36c9035637e52de23,20191225,1577244180,function_C,null,30,1
f6f411fa05b77d0f8048c128ffcb206c,20191224,1577148322,function_B,null,24,1
f6f411fa05b77d0f8048c128ffcb206c,20191224,1577160189,function_C,null,24,1
f6f411fa05b77d0f8048c128ffcb206c,20191225,1577237816,function_B,null,22,1
f6fc2079f51d178a593f112dda3d4937,20191224,1577157811,function_A,null,10,1
f6fc2079f51d178a593f112dda3d4937,20191224,1577160459,function_B,null,28,1
f6fc2079f51d178a593f112dda3d4937,20191224,1577177001,function_B,null,28,1
f70c139647ea83b23282b054b98c63c7,20191225,1577233368,function_A,null,7,1
f70c139647ea83b23282b054b98c63c7,20191225,1577235980,uninstall,null,,1
f7194928f6d6c5ae4de46d031a8aa109,20191224,1577147551,function_B,null,24,1
f7194928f6d6c5ae4de46d031a8aa109,20191224,1577155365,function_B,null,30,1
f7194928f6d6c5ae4de46d031a8aa109,20191224,1577171999,function_C,null,20,1
f7194928f6d6c5ae4de46d031a8aa109,20191225,1577237076,function_B,null,27,1
f7194928f6d6c5ae4de46d031a8aa109,20191225,1577254302,function_B,null,29,1
f729c39cce3f7d4702b66e347db58035,20191225,1577212636,install,S1,,1
f729c39cce3f7d4702b66e347db58035,20191225,1577225259,function_A,null,10,1
f729c39cce3f7d4702b66e347db58035,20191225,1577225432,uninstall,null,,1
f73ee17631c107b17ec9998add60b250,20191224,1577158219,function_B,null,21,1
f73ee17631c107b17ec9998add60b250,20191225,1577244146,function_A,null,8,1
f78ef385bfe05985d6ab753dee985cb4,20191224,1577149203,function_B,null,26,1
f78ef385bfe05985d6ab753dee985cb4,20191225,1577234936,uninstall,null,,1
f79b069388b5005bdb5469e84e2cfac8,20191225,1577246231,function_B,null,26,1
f7bd938509807af372ec2730e8a5c780,20191224,1577142726,function_A,null,10,1
f7bd938509807af372ec2730e8a5c780,20191224,1577157189,function_B,null,30,1
f7bd938509807af372ec2730e8a5c780,20191225,1577223792,function_A,null,10,1
f7bd938509807af372ec2730e8a5c780,20191225,1577230052,function_B,null,26,1
f7bff6c579eae126decc291de8513184,20191224,1577140550,function_A,null,10,1
f7bff6c579eae126decc291de8513184,20191224,1577152170,function_B,null,20,1
f7c30455882e426caa72242b4ecc6282,20191224,1577128093,install,S3,,1
f7c30455882e426caa72242b4ecc6282,20191224,1577144369,function_B,null,29,1
f7da0069ca63137944de9f6e67e08308,20191224,1577132087,function_A,null,5,1
f7da0069ca63137944de9f6e67e08308,20191225,1577244756,function_A,null,10,0
f7da0069ca63137944de9f6e67e08308,20191225,1577247225,uninstall,null,,1
f7e2f3ce1e11d6ccc91ea582c68edbcd,20191224,1577152479,function_A,null,10,1
f7e5f0d960c9ae507d65ebd4d4384f4b,20191224,1577155409,function_B,null,27,1
f7e5f0d960c9ae507d65ebd4d4384f4b,20191224,1577161843,function_B,null,30,1
f7e7e1976b558f920470a15519b940d4,20191225,1577247459,function_B,null,25,1
f8001009c78f31dd611649d9f07f83d5,20191224,1577131651,function_B,null,30,0
f8001009c78f31dd611649d9f07f83d5,20191225,1577246683,function_A,null,5,1
f8001009c78f31dd611649d9f07f83d5,20191225,1577264393,uninstall,null,,1
f81420a006dba76375c22364204e0b9f,20191224,1577149749,function_A,null,6,0
f826001fc09b3b7a5f5d612dfed5baf3,20191224,1577130412,function_A,null,5,1
f826001fc09b3b7a5f5d612dfed5baf3,20191225,1577258880,function_B,null,21,1
f826001fc09b3b7a5f5d612dfed5baf3,20191225,1577264662,uninstall,null,,1
f8275d382b2d5df7ccadc2f32b4d4c98,20191225,1577248509,function_A,null,10,1
f82fa6f5c35a77bde1b436233a307665,20191224,1577154102,function_B,null,23,1
f82fa6f5c35a77bde1b436233a307665,20191225,1577241419,function_A,null,6,1
f82fa6f5c35a77bde1b436233a307665,20191225,1577258652,function_C,null,42,1
f845f02bd1a572c262a5b51683fd0aa7,20191224,1577130177,function_B,null,28,1
f8475aedbb1103da29045649b6150de5,20191224,1577154888,function_A,null,10,1
f8475aedbb1103da29045649b6150de5,20191224,1577165538,function_C,null,17,1
f84b5280efdd1767bff18942d5e0570c,20191224,1577149359,function_A,null,10,1
f84b5280efdd1767bff18942d5e0570c,20191224,1577171215,uninstall,null,,1
f8551b8d73b3f861e45c3b08042071ec,20191224,1577139143,function_B,null,24,1
